id,ua_browser,ua_mobile,client,ordertotal,totalitems,partialip,productid,productname
,Safari,FALSE,targetcom,9.99,1,50.254.114,50866350,"Day Designer Weekly/Monthly Planner, 2016-2017, 144pgs, 8.5&amp;quot; x 11&amp;quot; - Pink/White"
,Firefox,FALSE,targetcom,42.73,2,174.105.228,15413678,Embark Flocked Air Mattress - Single High Twin
,IE,FALSE,targetcom,99.99,1,69.43.213,12326824,InSTEP Take 2 Bicycle Trailer - Light Blue/ Gray (Double)
,Safari,FALSE,targetcom,120.27,3,104.231.33,16576219,nuLOOM 100% Wool Morderna Ombre Area Rug
,Chrome,FALSE,targetcom,36.32,3,73.202.186,13409497,Odor Neutralizing Gel Beads Fresh Clean Scent 12 oz - up &amp; up&amp;trade;
,Chrome,FALSE,targetcom,77.98,2,64.18.237,15802960,Denaq DQ-UA90W-10 Laptop AC Adapter - Black (3730260)
,Firefox,FALSE,targetcom,107.96,2,71.190.84,14480014,4-Pack Caster Wheels for Wire Shelving Units - Room Essentials&amp;trade;
,Safari,FALSE,targetcom,51.96,1,24.162.241,16752282,Y Weave Extra Large Square Bin Grey - Set/4 - Room Essentials&amp;trade;
,Chrome,FALSE,targetcom,40.99,1,50.90.213,14440212,Black &amp; Decker 18v Cordless Power Drill
,Safari,FALSE,targetcom,33.17,3,76.115.24,14930403,"Vitafusion&amp;trade; MultiVites&amp;trade; Natural Berry, Peach and Orange Adult Vitamin Gummies"
,Chrome,FALSE,targetcom,27.85,5,99.48.153,17216211,Rimmel Natural Bronzer
,Chrome,FALSE,targetcom,29.98,2,200.114.144,16343714,Thermos Batman Portable Beverage Bottle (12oz)
,IE,FALSE,targetcom,90.54,3,173.171.221,10248090,Cotton Top Mattress Pad
,Chrome,FALSE,targetcom,33.99,1,69.120.58,14678544,Threshold&amp;trade; Percale Sheet Set
,Chrome,FALSE,targetcom,46.15,4,76.218.19,14296784,"Boon Stem Drying Rack Accessory, colors may vary"
,Chrome,FALSE,targetcom,33.56,4,68.46.36,13943308,Gud Pearanormal Activity Natural Body Wash - 10 oz
,Chrome Mobile,TRUE,targetcom,63.96,2,181.71.114,17286033,Dance Doll Outfit - Our Generation&amp;trade;
,Other,FALSE,targetcom,26.98,2,174.49.2,14918888,Baza Cat Hammock
,Chrome,FALSE,targetcom,40.64,5,76.167.118,21516452,Tide Pods 42 count Original  Laundry Detergent Pacs
,Safari,FALSE,targetcom,58.3,11,108.95.105,16602015,e.l.f. Foundation Brush
,Chrome,FALSE,targetcom,57.51,5,177.205.179,11285737,Saline Solution for Sensitive Eyes - 2 ct (12 oz each) - up &amp; up&amp;trade;
,Chrome,FALSE,targetcom,79.98,2,68.195.23,50846840,UNICEF Kid Power Band &amp;ndash; Star Wars Limited Edition Green
,Safari,FALSE,targetcom,38.97,5,76.0.72,14714006,Promotional Gift Card $5
,Firefox,FALSE,targetcom,126.48,3,207.69.172,16574179,Diapers Giant Pack (Select Size) - up &amp; up&amp;trade;
,Safari,FALSE,targetcom,150.81,8,71.199.3,14348604,Infant Formula  Advantage 40oz
,Chrome,FALSE,targetcom,100,1,181.49.79,17213812,Puppy with Bullseye GiftCard
,Chrome,FALSE,targetcom,249.98,2,134.134.139,16721766,Graco Pace Click Connect Stroller
,Chrome,FALSE,targetcom,249.98,2,134.134.139,15285908,Graco&amp;#174; SnugRide&amp;#174; Click Connect&amp;trade; 35 Infant Car Seat
,Firefox,FALSE,targetcom,26.96,2,38.69.64,13665841,Revlon Colorstay Eye Liner
,Firefox,FALSE,targetcom,65.97,4,114.108.232,51029842,Batman v Superman: Dawn of Justice (3D/Blu-ray)
,Safari,FALSE,targetcom,39,2,205.178.27,50014949,Laneige BB Cushion
